run,commit,type,iter,size,timea,timea1,timeb,timebp,timeb1,timebd,timec,timecp,timec1,timecd
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,1048576,1268008961,126800.9,X,#VALUE!,#VALUE!,#VALUE!,X,#VALUE!,#VALUE!,#VALUE!
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,4,374791,37.5,376490,0.45%,37.6,0.2,378210,0.91%,37.8,0.3
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,256,450133,45.0,453128,0.67%,45.3,0.3,452005,0.42%,45.2,0.2
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,65536,23491340,2349.1,23384607,-0.45%,2338.5,-10.7,X,#VALUE!,#VALUE!,#VALUE!
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,1048576,270674677,27067.5,X,#VALUE!,#VALUE!,#VALUE!,X,#VALUE!,#VALUE!,#VALUE!
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,4,374971,37.5,394126,5.11%,39.4,1.9,377990,0.81%,37.8,0.3
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,256,446057,44.6,451950,1.32%,45.2,0.6,451269,1.17%,45.1,0.5
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,65536,23257155,2325.7,23367776,0.48%,2336.8,11.1,23293911,0.16%,2329.4,3.7
2017-08-02_07,4dac21e1d08ccbd161435e63d6cfd09cea3f55ae,base,10000,1048576,268029707,26803.0,X,#VALUE!,#VALUE!,#VALUE!,487197257,81.77%,48719.7,21916.8

